id_auteur ;nom_auteur ;pre_nom_auteur ;naissance ;deces ;nationalite_ 
4;Nothomb ;Ame_lie ;09/07/1966;- ;belge 
5;Houellebecq ;Michel ;26/02/1956;- ;franc_ais 
6;Asimov ;Isaac ;02/01/1920;06/04/1992;russe
